District,variable,value
Ciutat Vella,mechanic,210265.0
Eixample,mechanic,371421.0
Gràcia,mechanic,37984.0
Horta-Guinardó,mechanic,21822.0
Les Corts,mechanic,36832.0
Nou Barris,mechanic,15481.0
Sant Andreu,mechanic,57654.0
Sant Martí,mechanic,260609.0
Sants-Montjuïc,mechanic,106621.0
Sarrià-Sant Gervasi,mechanic,41435.0
Ciutat Vella,electric,39490.0
Eixample,electric,113291.0
Gràcia,electric,27321.0
Horta-Guinardó,electric,16479.0
Les Corts,electric,24700.0
Nou Barris,electric,8716.0
Sant Andreu,electric,22493.0
Sant Martí,electric,62597.0
Sants-Montjuïc,electric,36068.0
Sarrià-Sant Gervasi,electric,32228.0
Ciutat Vella,total,249755.0
Eixample,total,484712.0
Gràcia,total,65305.0
Horta-Guinardó,total,38301.0
Les Corts,total,61532.0
Nou Barris,total,24197.0
Sant Andreu,total,80147.0
Sant Martí,total,323206.0
Sants-Montjuïc,total,142689.0
Sarrià-Sant Gervasi,total,73663.0
Ciutat Vella,capacity,1607.0
Eixample,capacity,2752.0
Gràcia,capacity,555.0
Horta-Guinardó,capacity,794.0
Les Corts,capacity,825.0
Nou Barris,capacity,702.0
Sant Andreu,capacity,1211.0
Sant Martí,capacity,2457.0
Sants-Montjuïc,capacity,1278.0
Sarrià-Sant Gervasi,capacity,932.0
Ciutat Vella,norm_mechanic,130.8431860609832
Eixample,norm_mechanic,134.9640261627907
Gràcia,norm_mechanic,68.43963963963964
Horta-Guinardó,norm_mechanic,27.483627204030228
Les Corts,norm_mechanic,44.64484848484849
Nou Barris,norm_mechanic,22.052706552706553
Sant Andreu,norm_mechanic,47.60858794384806
Sant Martí,norm_mechanic,106.06796906796907
Sants-Montjuïc,norm_mechanic,83.42801251956182
Sarrià-Sant Gervasi,norm_mechanic,44.458154506437765
Ciutat Vella,norm_electric,24.573739887990044
Eixample,norm_electric,41.166787790697676
Gràcia,norm_electric,49.22702702702703
Horta-Guinardó,norm_electric,20.7544080604534
Les Corts,norm_electric,29.939393939393938
Nou Barris,norm_electric,12.415954415954415
Sant Andreu,norm_electric,18.573905862923205
Sant Martí,norm_electric,25.477004477004478
Sants-Montjuïc,norm_electric,28.22222222222222
Sarrià-Sant Gervasi,norm_electric,34.5793991416309
Ciutat Vella,norm_total,155.41692594897324
Eixample,norm_total,176.13081395348837
Gràcia,norm_total,117.66666666666667
Horta-Guinardó,norm_total,48.23803526448363
Les Corts,norm_total,74.58424242424242
Nou Barris,norm_total,34.46866096866097
Sant Andreu,norm_total,66.18249380677126
Sant Martí,norm_total,131.54497354497354
Sants-Montjuïc,norm_total,111.65023474178403
Sarrià-Sant Gervasi,norm_total,79.03755364806867
