District,mechanic,electric,total,capacity,norm_mechanic,norm_electric,norm_total
Ciutat Vella,210265.0,39490.0,249755.0,1607,130.8431860609832,24.573739887990044,155.41692594897324
Eixample,371421.0,113291.0,484712.0,2752,134.9640261627907,41.166787790697676,176.13081395348837
Gràcia,37984.0,27321.0,65305.0,555,68.43963963963964,49.22702702702703,117.66666666666667
Horta-Guinardó,21822.0,16479.0,38301.0,794,27.483627204030228,20.7544080604534,48.23803526448363
Les Corts,36832.0,24700.0,61532.0,825,44.64484848484849,29.939393939393938,74.58424242424242
Nou Barris,15481.0,8716.0,24197.0,702,22.052706552706553,12.415954415954415,34.46866096866097
Sant Andreu,57654.0,22493.0,80147.0,1211,47.60858794384806,18.573905862923205,66.18249380677126
Sant Martí,260609.0,62597.0,323206.0,2457,106.06796906796907,25.477004477004478,131.54497354497354
Sants-Montjuïc,106621.0,36068.0,142689.0,1278,83.42801251956182,28.22222222222222,111.65023474178403
Sarrià-Sant Gervasi,41435.0,32228.0,73663.0,932,44.458154506437765,34.5793991416309,79.03755364806867
