station,biketype,operation,value
1,elec,drop,14.806451612903226
1,elec,pick,14.806451612903226
1,mech,drop,55.903225806451616
1,mech,pick,61.903225806451616
2,elec,drop,10.32258064516129
2,elec,pick,10.419354838709678
2,mech,drop,58.58064516129032
2,mech,pick,62.645161290322584
3,elec,drop,7.129032258064516
3,elec,pick,7.387096774193548
3,mech,drop,44.96774193548387
3,mech,pick,43.935483870967744
4,elec,drop,13.580645161290322
4,elec,pick,13.870967741935484
4,mech,drop,76.41935483870968
4,mech,pick,75.54838709677419
5,elec,drop,7.548387096774194
5,elec,pick,7.354838709677419
5,mech,drop,34.38709677419355
5,mech,pick,34.12903225806452
6,elec,drop,11.935483870967742
6,elec,pick,11.935483870967742
6,mech,drop,66.96774193548387
6,mech,pick,69.6774193548387
7,elec,drop,10.290322580645162
7,elec,pick,10.03225806451613
7,mech,drop,48.87096774193548
7,mech,pick,40.58064516129032
8,elec,drop,12.161290322580646
8,elec,pick,12.064516129032258
8,mech,drop,69.45161290322581
8,mech,pick,63.225806451612904
9,elec,drop,11.451612903225806
9,elec,pick,11.548387096774194
9,mech,drop,63.483870967741936
9,mech,pick,59.29032258064516
11,elec,drop,5.064516129032258
11,elec,pick,5.0
11,mech,drop,40.38709677419355
11,mech,pick,38.96774193548387
12,elec,drop,11.935483870967742
12,elec,pick,11.741935483870968
12,mech,drop,67.19354838709677
12,mech,pick,65.80645161290323
13,elec,drop,12.225806451612904
13,elec,pick,12.0
13,mech,drop,59.354838709677416
13,mech,pick,56.193548387096776
14,elec,drop,5.838709677419355
14,elec,pick,5.838709677419355
14,mech,drop,37.064516129032256
14,mech,pick,32.45161290322581
15,elec,drop,18.322580645161292
15,elec,pick,18.032258064516128
15,mech,drop,62.25806451612903
15,mech,pick,63.516129032258064
17,elec,drop,10.903225806451612
17,elec,pick,11.096774193548388
17,mech,drop,54.225806451612904
17,mech,pick,57.193548387096776
18,elec,drop,20.483870967741936
18,elec,pick,22.451612903225808
18,mech,drop,43.67741935483871
18,mech,pick,44.806451612903224
19,elec,drop,13.129032258064516
19,elec,pick,13.387096774193548
19,mech,drop,41.645161290322584
19,mech,pick,44.32258064516129
20,elec,drop,18.258064516129032
20,elec,pick,20.548387096774192
20,mech,drop,32.83870967741935
20,mech,pick,34.12903225806452
21,elec,drop,18.451612903225808
21,elec,pick,20.032258064516128
21,mech,drop,32.774193548387096
21,mech,pick,34.483870967741936
22,elec,drop,18.677419354838708
22,elec,pick,19.419354838709676
22,mech,drop,44.41935483870968
22,mech,pick,47.29032258064516
23,elec,drop,15.741935483870968
23,elec,pick,15.741935483870968
23,mech,drop,58.516129032258064
23,mech,pick,57.25806451612903
24,elec,drop,16.193548387096776
24,elec,pick,16.096774193548388
24,mech,drop,67.54838709677419
24,mech,pick,70.0
25,elec,drop,15.96774193548387
25,elec,pick,16.096774193548388
25,mech,drop,43.12903225806452
25,mech,pick,43.16129032258065
26,elec,drop,17.322580645161292
26,elec,pick,17.677419354838708
26,mech,drop,52.12903225806452
26,mech,pick,54.935483870967744
27,elec,drop,17.225806451612904
27,elec,pick,17.129032258064516
27,mech,drop,39.903225806451616
27,mech,pick,46.064516129032256
28,elec,drop,15.67741935483871
28,elec,pick,16.258064516129032
28,mech,drop,18.870967741935484
28,mech,pick,20.612903225806452
29,elec,drop,34.774193548387096
29,elec,pick,33.96774193548387
29,mech,drop,77.19354838709677
29,mech,pick,79.61290322580645
30,elec,drop,13.741935483870968
30,elec,pick,13.612903225806452
30,mech,drop,62.483870967741936
30,mech,pick,65.19354838709677
31,elec,drop,14.612903225806452
31,elec,pick,14.806451612903226
31,mech,drop,80.45161290322581
31,mech,pick,83.45161290322581
33,elec,drop,11.774193548387096
33,elec,pick,12.387096774193548
33,mech,drop,64.2258064516129
33,mech,pick,62.25806451612903
34,elec,drop,12.838709677419354
34,elec,pick,12.709677419354838
34,mech,drop,62.74193548387097
34,mech,pick,60.29032258064516
35,elec,drop,6.225806451612903
35,elec,pick,6.709677419354839
35,mech,drop,26.06451612903226
35,mech,pick,28.903225806451612
36,elec,drop,15.67741935483871
36,elec,pick,15.161290322580646
36,mech,drop,72.0
36,mech,pick,68.29032258064517
37,elec,drop,3.2580645161290325
37,elec,pick,3.064516129032258
37,mech,drop,19.516129032258064
37,mech,pick,16.967741935483872
39,elec,drop,15.548387096774194
39,elec,pick,15.548387096774194
39,mech,drop,85.93548387096774
39,mech,pick,75.87096774193549
40,elec,drop,9.548387096774194
40,elec,pick,9.741935483870968
40,mech,drop,62.41935483870968
40,mech,pick,58.96774193548387
41,elec,drop,14.806451612903226
41,elec,pick,14.419354838709678
41,mech,drop,80.48387096774194
41,mech,pick,81.96774193548387
42,elec,drop,37.064516129032256
42,elec,pick,36.03225806451613
42,mech,drop,108.64516129032258
42,mech,pick,105.45161290322581
44,elec,drop,25.580645161290324
44,elec,pick,25.0
44,mech,drop,76.61290322580645
44,mech,pick,76.03225806451613
45,elec,drop,10.806451612903226
45,elec,pick,10.741935483870968
45,mech,drop,67.58064516129032
45,mech,pick,65.29032258064517
46,elec,drop,8.741935483870968
46,elec,pick,8.903225806451612
46,mech,drop,58.096774193548384
46,mech,pick,58.32258064516129
47,elec,drop,13.806451612903226
47,elec,pick,13.806451612903226
47,mech,drop,77.38709677419355
47,mech,pick,77.12903225806451
48,elec,drop,16.774193548387096
48,elec,pick,16.129032258064516
48,mech,drop,64.51612903225806
48,mech,pick,66.80645161290323
49,elec,drop,11.387096774193548
49,elec,pick,10.838709677419354
49,mech,drop,59.25806451612903
49,mech,pick,57.12903225806452
50,elec,drop,10.580645161290322
50,elec,pick,10.483870967741936
50,mech,drop,61.193548387096776
50,mech,pick,60.12903225806452
51,elec,drop,11.935483870967742
