,datetime,113,101,329
0,2020-01-01T00:00:00,3.0,0.0,0.0
1,2020-01-01T01:00:00,2.0,2.0,0.0
2,2020-01-01T02:00:00,2.0,0.0,0.0
3,2020-01-01T03:00:00,0.0,1.0,0.0
4,2020-01-01T04:00:00,2.0,3.0,0.0
5,2020-01-01T05:00:00,2.0,4.0,0.0
6,2020-01-01T06:00:00,1.0,3.0,0.0
7,2020-01-01T07:00:00,0.0,0.0,0.0
8,2020-01-01T08:00:00,14.0,0.0,0.0
9,2020-01-01T09:00:00,1.0,1.0,0.0
10,2020-01-01T10:00:00,2.0,1.0,0.0
11,2020-01-01T11:00:00,2.0,3.0,0.0
12,2020-01-01T12:00:00,1.0,0.0,0.0
13,2020-01-01T13:00:00,2.0,0.0,0.0
14,2020-01-01T14:00:00,3.0,5.0,0.0
15,2020-01-01T15:00:00,3.0,1.0,1.0
16,2020-01-01T16:00:00,2.0,3.0,2.0
17,2020-01-01T17:00:00,2.0,3.0,0.0
18,2020-01-01T18:00:00,2.0,1.0,0.0
19,2020-01-01T19:00:00,1.0,3.0,0.0
20,2020-01-01T20:00:00,0.0,2.0,1.0
21,2020-01-01T21:00:00,0.0,1.0,1.0
22,2020-01-01T22:00:00,3.0,1.0,1.0
23,2020-01-01T23:00:00,2.0,0.0,0.0
24,2020-01-02T00:00:00,0.0,0.0,1.0
25,2020-01-02T01:00:00,1.0,1.0,0.0
26,2020-01-02T02:00:00,0.0,0.0,0.0
27,2020-01-02T03:00:00,0.0,0.0,0.0
28,2020-01-02T04:00:00,1.0,0.0,0.0
29,2020-01-02T05:00:00,1.0,1.0,0.0
30,2020-01-02T06:00:00,3.0,2.0,0.0
31,2020-01-02T07:00:00,2.0,5.0,2.0
32,2020-01-02T08:00:00,2.0,3.0,2.0
33,2020-01-02T09:00:00,6.0,1.0,3.0
34,2020-01-02T10:00:00,1.0,1.0,2.0
35,2020-01-02T11:00:00,5.0,1.0,2.0
36,2020-01-02T12:00:00,3.0,2.0,1.0
37,2020-01-02T13:00:00,3.0,4.0,4.0
38,2020-01-02T14:00:00,2.0,3.0,2.0
39,2020-01-02T15:00:00,4.0,6.0,1.0
40,2020-01-02T16:00:00,4.0,6.0,0.0
41,2020-01-02T17:00:00,7.0,13.0,2.0
42,2020-01-02T18:00:00,8.0,7.0,1.0
43,2020-01-02T19:00:00,2.0,0.0,1.0
44,2020-01-02T20:00:00,1.0,4.0,0.0
45,2020-01-02T21:00:00,1.0,1.0,0.0
46,2020-01-02T22:00:00,1.0,2.0,1.0
47,2020-01-02T23:00:00,2.0,8.0,0.0
48,2020-01-03T00:00:00,0.0,2.0,0.0
49,2020-01-03T01:00:00,0.0,2.0,0.0
50,2020-01-03T02:00:00,0.0,0.0,0.0
51,2020-01-03T03:00:00,0.0,1.0,0.0
52,2020-01-03T04:00:00,1.0,0.0,0.0
53,2020-01-03T05:00:00,1.0,0.0,0.0
54,2020-01-03T06:00:00,6.0,1.0,0.0
55,2020-01-03T07:00:00,4.0,1.0,1.0
