datetime,station,mech_drops,elec_drops,elec_picks,mech_picks
2020-01-01T00:00:00,1,31.0,6.0,4.0,39.0
2020-01-02T00:00:00,1,71.0,16.0,16.0,54.0
2020-01-03T00:00:00,1,52.0,19.0,23.0,83.0
2020-01-04T00:00:00,1,39.0,11.0,11.0,48.0
2020-01-05T00:00:00,1,41.0,11.0,10.0,45.0
2020-01-06T00:00:00,1,30.0,9.0,9.0,31.0
2020-01-07T00:00:00,1,103.0,17.0,19.0,95.0
2020-01-08T00:00:00,1,73.0,21.0,20.0,104.0
2020-01-09T00:00:00,1,73.0,17.0,14.0,80.0
2020-01-10T00:00:00,1,11.0,2.0,7.0,10.0
2020-01-11T00:00:00,1,59.0,11.0,10.0,86.0
2020-01-12T00:00:00,1,42.0,14.0,15.0,59.0
2020-01-13T00:00:00,1,87.0,16.0,17.0,93.0
2020-01-14T00:00:00,1,86.0,21.0,21.0,85.0
2020-01-15T00:00:00,1,78.0,26.0,25.0,91.0
2020-01-16T00:00:00,1,71.0,23.0,23.0,76.0
2020-01-17T00:00:00,1,68.0,17.0,17.0,88.0
2020-01-18T00:00:00,1,52.0,14.0,14.0,66.0
2020-01-19T00:00:00,1,30.0,9.0,8.0,37.0
2020-01-20T00:00:00,1,36.0,10.0,9.0,38.0
2020-01-21T00:00:00,1,8.0,4.0,2.0,13.0
2020-01-22T00:00:00,1,62.0,11.0,11.0,50.0
2020-01-23T00:00:00,1,70.0,24.0,25.0,85.0
2020-01-24T00:00:00,1,72.0,19.0,19.0,60.0
2020-01-25T00:00:00,1,0.0,0.0,0.0,0.0
2020-01-26T00:00:00,1,0.0,0.0,0.0,0.0
2020-01-27T00:00:00,1,81.0,21.0,22.0,61.0
2020-01-28T00:00:00,1,71.0,23.0,24.0,87.0
2020-01-29T00:00:00,1,75.0,23.0,21.0,72.0
2020-01-30T00:00:00,1,82.0,23.0,24.0,89.0
2020-01-31T00:00:00,1,79.0,21.0,19.0,94.0
2020-01-01T00:00:00,2,24.0,6.0,6.0,23.0
2020-01-02T00:00:00,2,57.0,2.0,2.0,51.0
2020-01-03T00:00:00,2,65.0,11.0,11.0,67.0
2020-01-04T00:00:00,2,33.0,12.0,13.0,41.0
2020-01-05T00:00:00,2,32.0,8.0,8.0,39.0
2020-01-06T00:00:00,2,31.0,9.0,9.0,40.0
2020-01-07T00:00:00,2,66.0,16.0,16.0,60.0
2020-01-08T00:00:00,2,72.0,12.0,12.0,76.0
2020-01-09T00:00:00,2,81.0,17.0,17.0,81.0
2020-01-10T00:00:00,2,68.0,19.0,20.0,66.0
2020-01-11T00:00:00,2,46.0,8.0,7.0,54.0
2020-01-12T00:00:00,2,35.0,6.0,6.0,46.0
2020-01-13T00:00:00,2,80.0,8.0,7.0,89.0
2020-01-14T00:00:00,2,111.0,8.0,8.0,104.0
2020-01-15T00:00:00,2,87.0,14.0,14.0,86.0
2020-01-16T00:00:00,2,89.0,17.0,17.0,96.0
2020-01-17T00:00:00,2,88.0,22.0,20.0,91.0
2020-01-18T00:00:00,2,39.0,11.0,11.0,58.0
2020-01-19T00:00:00,2,25.0,4.0,3.0,33.0
2020-01-20T00:00:00,2,49.0,11.0,11.0,59.0
2020-01-21T00:00:00,2,30.0,5.0,4.0,26.0
2020-01-22T00:00:00,2,69.0,6.0,7.0,72.0
2020-01-23T00:00:00,2,87.0,11.0,11.0,86.0
2020-01-24T00:00:00,2,65.0,18.0,19.0,73.0
2020-01-25T00:00:00,2,0.0,0.0,0.0,0.0
2020-01-26T00:00:00,2,0.0,0.0,0.0,0.0
2020-01-27T00:00:00,2,75.0,7.0,7.0,74.0
2020-01-28T00:00:00,2,78.0,20.0,21.0,90.0
2020-01-29T00:00:00,2,77.0,13.0,12.0,81.0
2020-01-30T00:00:00,2,77.0,10.0,13.0,91.0
2020-01-31T00:00:00,2,80.0,9.0,11.0,89.0
2020-01-01T00:00:00,3,21.0,1.0,1.0,27.0
2020-01-02T00:00:00,3,40.0,5.0,5.0,39.0
2020-01-03T00:00:00,3,34.0,4.0,4.0,40.0
2020-01-04T00:00:00,3,30.0,3.0,3.0,31.0
2020-01-05T00:00:00,3,55.0,7.0,7.0,45.0
2020-01-06T00:00:00,3,27.0,4.0,4.0,36.0
2020-01-07T00:00:00,3,57.0,11.0,11.0,47.0
2020-01-08T00:00:00,3,65.0,7.0,7.0,66.0
2020-01-09T00:00:00,3,66.0,15.0,14.0,71.0
2020-01-10T00:00:00,3,35.0,6.0,7.0,35.0
2020-01-11T00:00:00,3,52.0,6.0,7.0,55.0
2020-01-12T00:00:00,3,31.0,3.0,5.0,26.0
2020-01-13T00:00:00,3,51.0,7.0,7.0,43.0
2020-01-14T00:00:00,3,68.0,16.0,16.0,73.0
2020-01-15T00:00:00,3,55.0,14.0,14.0,43.0
2020-01-16T00:00:00,3,54.0,9.0,9.0,63.0
2020-01-17T00:00:00,3,60.0,5.0,5.0,56.0
2020-01-18T00:00:00,3,41.0,3.0,3.0,44.0
2020-01-19T00:00:00,3,29.0,3.0,5.0,29.0
2020-01-20T00:00:00,3,38.0,8.0,7.0,32.0
2020-01-21T00:00:00,3,12.0,2.0,6.0,22.0
2020-01-22T00:00:00,3,45.0,7.0,7.0,42.0
2020-01-23T00:00:00,3,46.0,3.0,3.0,45.0
2020-01-24T00:00:00,3,56.0,9.0,9.0,47.0
2020-01-25T00:00:00,3,0.0,0.0,0.0,0.0
2020-01-26T00:00:00,3,0.0,0.0,0.0,0.0
2020-01-27T00:00:00,3,66.0,14.0,14.0,51.0
2020-01-28T00:00:00,3,65.0,11.0,11.0,74.0
2020-01-29T00:00:00,3,65.0,13.0,13.0,63.0
2020-01-30T00:00:00,3,70.0,13.0,13.0,70.0
2020-01-31T00:00:00,3,60.0,12.0,12.0,47.0
2020-01-01T00:00:00,4,29.0,4.0,3.0,20.0
2020-01-02T00:00:00,4,74.0,11.0,11.0,79.0
2020-01-03T00:00:00,4,90.0,10.0,10.0,82.0
2020-01-04T00:00:00,4,61.0,7.0,9.0,50.0
2020-01-05T00:00:00,4,30.0,6.0,6.0,36.0
2020-01-06T00:00:00,4,34.0,9.0,9.0,48.0
2020-01-07T00:00:00,4,97.0,12.0,14.0,83.0
2020-01-08T00:00:00,4,98.0,11.0,12.0,97.0
2020-01-09T00:00:00,4,80.0,23.0,23.0,92.0
2020-01-10T00:00:00,4,74.0,14.0,14.0,76.0
2020-01-11T00:00:00,4,78.0,12.0,10.0,68.0
2020-01-12T00:00:00,4,72.0,20.0,21.0,74.0
2020-01-13T00:00:00,4,99.0,20.0,21.0,94.0
2020-01-14T00:00:00,4,92.0,19.0,19.0,94.0
2020-01-15T00:00:00,4,111.0,16.0,16.0,120.0
2020-01-16T00:00:00,4,100.0,25.0,25.0,94.0
2020-01-17T00:00:00,4,107.0,19.0,20.0,107.0
2020-01-18T00:00:00,4,85.0,10.0,10.0,80.0
2020-01-19T00:00:00,4,60.0,11.0,11.0,68.0
2020-01-20T00:00:00,4,70.0,18.0,18.0,72.0
2020-01-21T00:00:00,4,27.0,5.0,2.0,24.0
2020-01-22T00:00:00,4,80.0,12.0,13.0,84.0
2020-01-23T00:00:00,4,98.0,21.0,21.0,101.0
2020-01-24T00:00:00,4,107.0,20.0,22.0,100.0
2020-01-25T00:00:00,4,0.0,0.0,0.0,0.0
2020-01-26T00:00:00,4,0.0,0.0,0.0,0.0
2020-01-27T00:00:00,4,94.0,12.0,13.0,81.0
2020-01-28T00:00:00,4,108.0,18.0,19.0,109.0
2020-01-29T00:00:00,4,115.0,18.0,18.0,110.0
2020-01-30T00:00:00,4,94.0,15.0,17.0,98.0
2020-01-31T00:00:00,4,105.0,23.0,23.0,101.0
2020-01-01T00:00:00,5,21.0,3.0,3.0,31.0
2020-01-02T00:00:00,5,27.0,8.0,8.0,32.0
2020-01-03T00:00:00,5,37.0,8.0,8.0,42.0
2020-01-04T00:00:00,5,29.0,9.0,9.0,23.0
2020-01-05T00:00:00,5,47.0,9.0,9.0,48.0
2020-01-06T00:00:00,5,21.0,9.0,9.0,17.0
2020-01-07T00:00:00,5,49.0,4.0,4.0,61.0
2020-01-08T00:00:00,5,32.0,5.0,5.0,42.0
2020-01-09T00:00:00,5,34.0,10.0,10.0,26.0
