datetime,station,acronim,value
2020-01-01T12:30:00Z,D5,TX,11.5
2020-01-01T00:37:00Z,D5,TN,4.6
2020-01-01T19:30:00Z,D5,HRX,91
2020-01-01T12:59:00Z,D5,HRN,64
2020-01-01T09:30:00Z,D5,PX,983.2
2020-01-01T03:39:00Z,D5,PN,980.8
2019-12-31T23:21:00Z,D5,VVX10,11.2
2019-12-31T23:21:00Z,D5,DVVX10,321
2020-01-01T13:34:00Z,X2,TX,12
2020-01-01T04:29:00Z,X2,TN,4.5
2020-01-01T22:59:00Z,X2,HRX,95
2020-01-01T10:10:00Z,X2,HRN,62
2020-01-01T13:11:00Z,X4,TX,13.3
2020-01-01T04:04:00Z,X4,TN,6.7
2020-01-01T04:04:00Z,X4,HRX,77
2020-01-01T11:02:00Z,X4,HRN,55
2020-01-01T09:10:00Z,X4,PX,1028.9
2020-01-01T13:00:00Z,X4,PN,1026.5
2019-12-31T23:09:00Z,X4,VVX10,4.2
2019-12-31T23:09:00Z,X4,DVVX10,288
2020-01-01T12:15:00Z,X8,TX,12.9
2020-01-01T06:30:00Z,X8,TN,3.8
2020-01-01T21:04:00Z,X8,HRX,94
2020-01-01T12:12:00Z,X8,HRN,57
2020-01-01T09:30:00Z,X8,PX,1023.3
2020-01-01T03:45:00Z,X8,PN,1020.9
2020-01-01T00:49:00Z,X8,VVX10,4.9
2020-01-01T00:49:00Z,X8,DVVX10,293
2020-01-02T13:14:00Z,D5,TX,12.3
2020-01-02T05:29:00Z,D5,TN,5.5
2020-01-02T21:33:00Z,D5,HRX,89
2020-01-02T13:15:00Z,D5,HRN,65
2020-01-02T08:57:00Z,D5,PX,983
2020-01-02T13:44:00Z,D5,PN,980.6
2020-01-02T20:59:00Z,D5,VVX10,10.3
2020-01-02T20:59:00Z,D5,DVVX10,267
2020-01-02T13:47:00Z,X2,TX,14
2020-01-02T04:34:00Z,X2,TN,4.1
2020-01-02T02:30:00Z,X2,HRX,96
2020-01-02T13:12:00Z,X2,HRN,60
2020-01-02T13:41:00Z,X4,TX,14.4
2020-01-02T05:10:00Z,X4,TN,7.1
2020-01-02T02:10:00Z,X4,HRX,79
2020-01-02T13:41:00Z,X4,HRN,55
2020-01-02T08:30:00Z,X4,PX,1028.8
2020-01-02T13:30:00Z,X4,PN,1025.7
2020-01-02T12:11:00Z,X4,VVX10,7.8
2020-01-02T12:11:00Z,X4,DVVX10,285
2020-01-02T13:34:00Z,X8,TX,14.4
2020-01-02T05:05:00Z,X8,TN,4.6
2020-01-02T04:42:00Z,X8,HRX,96
2020-01-02T13:45:00Z,X8,HRN,58
2020-01-02T09:00:00Z,X8,PX,1023.1
2020-01-02T13:21:00Z,X8,PN,1020.3
2020-01-02T13:44:00Z,X8,VVX10,6.4
2020-01-02T13:44:00Z,X8,DVVX10,230
2020-01-03T20:42:00Z,D5,TX,10.8
2020-01-03T07:04:00Z,D5,TN,4.2
2020-01-03T03:48:00Z,D5,HRX,92
2020-01-03T20:41:00Z,D5,HRN,46
2020-01-03T22:36:00Z,D5,PX,982.2
2020-01-03T04:30:00Z,D5,PN,978.8
2020-01-03T04:37:00Z,D5,VVX10,12.8
2020-01-03T04:37:00Z,D5,DVVX10,267
2020-01-03T12:24:00Z,X2,TX,13.7
2020-01-03T22:51:00Z,X2,TN,6.1
2020-01-03T01:45:00Z,X2,HRX,97
2020-01-03T13:35:00Z,X2,HRN,51
2020-01-03T11:43:00Z,X4,TX,14
2020-01-03T07:31:00Z,X4,TN,8.7
2020-01-03T03:02:00Z,X4,HRX,77
2020-01-03T14:05:00Z,X4,HRN,47
2020-01-03T09:00:00Z,X4,PX,1027.8
2020-01-03T03:49:00Z,X4,PN,1024.8
2020-01-03T07:06:00Z,X4,VVX10,5.2
2020-01-03T07:06:00Z,X4,DVVX10,298
2020-01-03T11:38:00Z,X8,TX,13.5
2020-01-03T22:51:00Z,X8,TN,6.8
2020-01-03T20:56:00Z,X8,HRX,86
2020-01-03T13:06:00Z,X8,HRN,55
2020-01-03T09:06:00Z,X8,PX,1022.1
2020-01-03T04:00:00Z,X8,PN,1019.2
2020-01-03T02:29:00Z,X8,VVX10,5.5
2020-01-03T02:29:00Z,X8,DVVX10,318
2020-01-04T12:06:00Z,D5,TX,14.3
2020-01-04T19:42:00Z,D5,TN,6.8
2020-01-04T09:02:00Z,D5,HRX,86
2020-01-04T12:30:00Z,D5,HRN,44
2020-01-04T09:01:00Z,D5,PX,983.3
2020-01-04T22:57:00Z,D5,PN,979.7
2020-01-04T19:27:00Z,D5,VVX10,16.4
2020-01-04T19:27:00Z,D5,DVVX10,317
2020-01-04T12:21:00Z,X2,TX,14.7
2020-01-04T06:02:00Z,X2,TN,4.6
2020-01-04T01:30:00Z,X2,HRX,89
2020-01-04T14:34:00Z,X2,HRN,44
2020-01-04T13:08:00Z,X4,TX,16.3
2020-01-04T06:00:00Z,X4,TN,7.4
2020-01-04T06:01:00Z,X4,HRX,71
2020-01-04T13:13:00Z,X4,HRN,37
2020-01-04T09:02:00Z,X4,PX,1028.5
2020-01-04T22:59:00Z,X4,PN,1024.7
2020-01-04T15:42:00Z,X4,VVX10,7.8
2020-01-04T15:42:00Z,X4,DVVX10,271
2020-01-04T12:50:00Z,X8,TX,16.2
2020-01-04T06:03:00Z,X8,TN,4.6
2020-01-04T06:04:00Z,X8,HRX,84
2020-01-04T12:51:00Z,X8,HRN,38
2020-01-04T09:02:00Z,X8,PX,1023
2020-01-04T22:59:00Z,X8,PN,1018.9
2020-01-04T19:02:00Z,X8,VVX10,13.5
2020-01-04T19:02:00Z,X8,DVVX10,309
2020-01-05T11:37:00Z,D5,TX,15.4
2020-01-05T04:18:00Z,D5,TN,5.3
2020-01-05T16:30:00Z,D5,HRX,87
2020-01-05T09:18:00Z,D5,HRN,30
2020-01-05T21:09:00Z,D5,PX,980.3
2020-01-05T12:38:00Z,D5,PN,977.7
2020-01-05T01:56:00Z,D5,VVX10,14.5
2020-01-05T01:56:00Z,D5,DVVX10,316
2020-01-05T10:39:00Z,X2,TX,14.6
2020-01-05T05:39:00Z,X2,TN,4.6
2020-01-05T19:30:00Z,X2,HRX,94
2020-01-05T10:37:00Z,X2,HRN,41
2020-01-05T10:16:00Z,X4,TX,15.3
2020-01-05T06:22:00Z,X4,TN,7.8
2020-01-05T20:07:00Z,X4,HRX,75
2020-01-05T10:07:00Z,X4,HRN,34
2020-01-05T21:31:00Z,X4,PX,1025.4
2020-01-05T12:19:00Z,X4,PN,1022.3
2020-01-05T14:08:00Z,X4,VVX10,6.8
2020-01-05T14:08:00Z,X4,DVVX10,72
2020-01-05T12:13:00Z,X8,TX,16.2
2020-01-05T06:21:00Z,X8,TN,5.4
2020-01-05T21:03:00Z,X8,HRX,91
2020-01-05T11:05:00Z,X8,HRN,34
2020-01-05T21:13:00Z,X8,PX,1019.8
2020-01-05T12:13:00Z,X8,PN,1016.8
2020-01-04T23:12:00Z,X8,VVX10,9
2020-01-04T23:12:00Z,X8,DVVX10,311
2020-01-06T12:37:00Z,D5,TX,13.7
2020-01-06T05:29:00Z,D5,TN,6.5
2020-01-06T17:14:00Z,D5,HRX,87
2020-01-05T23:06:00Z,D5,HRN,48
2020-01-06T22:35:00Z,D5,PX,981.2
2020-01-06T13:04:00Z,D5,PN,978.5
2020-01-06T02:03:00Z,D5,VVX10,7.1
2020-01-06T02:03:00Z,D5,DVVX10,306
2020-01-06T12:38:00Z,X2,TX,14.3
2020-01-06T02:17:00Z,X2,TN,5.8
2020-01-06T20:13:00Z,X2,HRX,97
2020-01-06T10:09:00Z,X2,HRN,53
2020-01-06T11:32:00Z,X4,TX,15.2
2020-01-06T05:06:00Z,X4,TN,8.1
2020-01-06T22:59:00Z,X4,HRX,78
2020-01-06T10:01:00Z,X4,HRN,50
2020-01-06T22:38:00Z,X4,PX,1026.5
2020-01-06T13:06:00Z,X4,PN,1023.3
2020-01-06T22:34:00Z,X4,VVX10,3.8
2020-01-06T22:34:00Z,X4,DVVX10,27
2020-01-06T12:15:00Z,X8,TX,15.7
2020-01-06T05:12:00Z,X8,TN,4.8
2020-01-06T22:53:00Z,X8,HRX,93
2020-01-06T10:12:00Z,X8,HRN,52
2020-01-06T22:36:00Z,X8,PX,1020.8
2020-01-06T13:03:00Z,X8,PN,1017.8
2020-01-06T01:52:00Z,X8,VVX10,4.2
2020-01-06T01:52:00Z,X8,DVVX10,339
2020-01-07T14:44:00Z,D5,TX,14
2020-01-07T02:07:00Z,D5,TN,6.7
2020-01-07T02:30:00Z,D5,HRX,86
2020-01-07T22:59:00Z,D5,HRN,35
2020-01-07T08:39:00Z,D5,PX,981.4
2020-01-07T22:59:00Z,D5,PN,978.3
2020-01-07T07:46:00Z,D5,VVX10,8.8
2020-01-07T07:46:00Z,D5,DVVX10,315
2020-01-07T13:00:00Z,X2,TX,15.6
2020-01-07T06:27:00Z,X2,TN,4.7
2020-01-07T04:09:00Z,X2,HRX,96
2020-01-07T13:06:00Z,X2,HRN,42
2020-01-07T12:58:00Z,X4,TX,16.3
2020-01-07T06:17:00Z,X4,TN,8.6
2020-01-07T00:55:00Z,X4,HRX,80
2020-01-07T12:58:00Z,X4,HRN,36
2020-01-07T08:45:00Z,X4,PX,1026.7
2020-01-07T22:56:00Z,X4,PN,1023.1
2020-01-07T11:51:00Z,X4,VVX10,5.1
2020-01-07T11:51:00Z,X4,DVVX10,246
2020-01-07T13:10:00Z,X8,TX,16.2
2020-01-07T05:52:00Z,X8,TN,5.5
2020-01-07T00:36:00Z,X8,HRX,96
2020-01-07T13:12:00Z,X8,HRN,39
2020-01-07T08:35:00Z,X8,PX,1021
2020-01-07T22:58:00Z,X8,PN,1017.5
2020-01-07T12:10:00Z,X8,VVX10,5.9
2020-01-07T12:10:00Z,X8,DVVX10,286
2020-01-08T12:27:00Z,D5,TX,15.4
2020-01-08T05:35:00Z,D5,TN,7.6
2020-01-08T22:30:00Z,D5,HRX,93
2020-01-07T23:39:00Z,D5,HRN,31
2020-01-08T09:21:00Z,D5,PX,982.4
2020-01-07T23:12:00Z,D5,PN,978.2
2020-01-08T01:23:00Z,D5,VVX10,8.9
2020-01-08T01:23:00Z,D5,DVVX10,47
2020-01-08T10:09:00Z,X2,TX,15.9
2020-01-08T05:55:00Z,X2,TN,4.8
2020-01-08T22:46:00Z,X2,HRX,99
2020-01-08T09:31:00Z,X2,HRN,54
2020-01-08T09:17:00Z,X4,TX,16.4
2020-01-08T00:45:00Z,X4,TN,8.5
2020-01-08T22:50:00Z,X4,HRX,82
2020-01-08T09:16:00Z,X4,HRN,50
2020-01-08T08:38:00Z,X4,PX,1027.5
2020-01-07T23:12:00Z,X4,PN,1023
2020-01-08T12:58:00Z,X4,VVX10,4.1
2020-01-08T12:58:00Z,X4,DVVX10,131
2020-01-08T11:42:00Z,X8,TX,17.1
2020-01-08T00:38:00Z,X8,TN,6.2
2020-01-08T22:23:00Z,X8,HRX,95
2020-01-08T11:43:00Z,X8,HRN,52
2020-01-08T09:06:00Z,X8,PX,1021.9
2020-01-07T23:13:00Z,X8,PN,1017.3
2020-01-08T10:31:00Z,X8,VVX10,5.3
2020-01-08T10:31:00Z,X8,DVVX10,238
2020-01-09T13:09:00Z,D5,TX,13.7
2020-01-09T18:17:00Z,D5,TN,7.8
2020-01-09T02:00:00Z,D5,HRX,93
2020-01-09T02:52:00Z,D5,HRN,59
2020-01-08T23:00:00Z,D5,PX,980.8
2020-01-09T22:36:00Z,D5,PN,974.4
2020-01-09T22:19:00Z,D5,VVX10,8.9
2020-01-09T22:19:00Z,D5,DVVX10,242
2020-01-09T12:00:00Z,X2,TX,14.6
2020-01-09T06:32:00Z,X2,TN,4.9
2020-01-09T05:30:00Z,X2,HRX,100
2020-01-09T12:03:00Z,X2,HRN,69
2020-01-09T12:45:00Z,X4,TX,14.7
2020-01-09T06:27:00Z,X4,TN,8.5
2020-01-09T01:01:00Z,X4,HRX,86
2020-01-09T13:39:00Z,X4,HRN,63
2020-01-08T23:00:00Z,X4,PX,1026
2020-01-09T22:52:00Z,X4,PN,1019.4
2020-01-09T14:26:00Z,X4,VVX10,7.4
2020-01-09T14:26:00Z,X4,DVVX10,240
2020-01-09T11:54:00Z,X8,TX,14.8
2020-01-09T05:18:00Z,X8,TN,6.8
2020-01-09T06:01:00Z,X8,HRX,97
2020-01-09T13:21:00Z,X8,HRN,67
2020-01-08T23:00:00Z,X8,PX,1020.3
2020-01-09T22:36:00Z,X8,PN,1013.8
2020-01-09T13:47:00Z,X8,VVX10,7
2020-01-09T13:47:00Z,X8,DVVX10,220
2020-01-10T03:27:00Z,D5,TX,9.2
2020-01-10T08:32:00Z,D5,TN,6.1
2020-01-10T08:00:00Z,D5,HRX,98
2020-01-10T20:23:00Z,D5,HRN,70
2020-01-10T22:50:00Z,D5,PX,979.4
2020-01-10T04:00:00Z,D5,PN,974.2
2020-01-10T17:48:00Z,D5,VVX10,11.6
2020-01-10T17:48:00Z,D5,DVVX10,336
2020-01-10T13:30:00Z,X2,TX,11.9
2020-01-10T22:47:00Z,X2,TN,7.4
2020-01-10T08:08:00Z,X2,HRX,99
2020-01-10T13:05:00Z,X2,HRN,75
2020-01-10T13:31:00Z,X4,TX,12.3
2020-01-10T22:59:00Z,X4,TN,9.3
2020-01-10T08:00:00Z,X4,HRX,95
2020-01-10T14:11:00Z,X4,HRN,66
2020-01-10T22:54:00Z,X4,PX,1024.8
2020-01-10T03:33:00Z,X4,PN,1019.2
2020-01-10T10:49:00Z,X4,VVX10,6.1
2020-01-10T10:49:00Z,X4,DVVX10,303
2020-01-10T14:04:00Z,X8,TX,11.2
2020-01-10T21:27:00Z,X8,TN,6.3
2020-01-10T08:00:00Z,X8,HRX,98
2020-01-10T12:40:00Z,X8,HRN,75
2020-01-10T22:55:00Z,X8,PX,1019.1
2020-01-10T03:35:00Z,X8,PN,1013.5
2020-01-10T10:51:00Z,X8,VVX10,7.8
2020-01-10T10:51:00Z,X8,DVVX10,300
2020-01-11T13:59:00Z,D5,TX,8
2020-01-11T06:01:00Z,D5,TN,3.2
2020-01-11T00:00:00Z,D5,HRX,91
2020-01-11T17:33:00Z,D5,HRN,55
2020-01-11T09:39:00Z,D5,PX,981.5
2020-01-10T23:53:00Z,D5,PN,978.9
2020-01-11T01:59:00Z,D5,VVX10,12.6
2020-01-11T01:59:00Z,D5,DVVX10,315
2020-01-11T13:30:00Z,X2,TX,11.8
2020-01-11T22:59:00Z,X2,TN,4.9
2020-01-11T05:37:00Z,X2,HRX,96
2020-01-11T13:09:00Z,X2,HRN,49
2020-01-11T12:58:00Z,X4,TX,12.9
2020-01-11T06:41:00Z,X4,TN,7.3
2020-01-11T01:00:00Z,X4,HRX,79
2020-01-11T13:20:00Z,X4,HRN,44
2020-01-11T09:03:00Z,X4,PX,1027.4
2020-01-11T01:02:00Z,X4,PN,1024.3
2020-01-11T21:12:00Z,X4,VVX10,8.1
2020-01-11T21:12:00Z,X4,DVVX10,323
2020-01-11T13:21:00Z,X8,TX,12.2
2020-01-11T22:24:00Z,X8,TN,5.1
2020-01-11T00:46:00Z,X8,HRX,97
2020-01-11T18:10:00Z,X8,HRN,54
2020-01-11T09:32:00Z,X8,PX,1021.8
2020-01-11T00:00:00Z,X8,PN,1018.6
2020-01-11T02:27:00Z,X8,VVX10,8.5
2020-01-11T02:27:00Z,X8,DVVX10,293
2020-01-12T13:10:00Z,D5,TX,13.9
2020-01-12T02:50:00Z,D5,TN,5.2
2020-01-12T09:10:00Z,D5,HRX,78
2020-01-12T21:41:00Z,D5,HRN,37
2020-01-12T09:06:00Z,D5,PX,981.4
2020-01-12T22:58:00Z,D5,PN,977.8
2020-01-12T22:57:00Z,D5,VVX10,10.7
2020-01-12T22:57:00Z,D5,DVVX10,310
2020-01-12T12:20:00Z,X2,TX,13.1
2020-01-12T04:02:00Z,X2,TN,3.2
2020-01-12T03:49:00Z,X2,HRX,96
2020-01-12T12:00:00Z,X2,HRN,52
2020-01-12T12:02:00Z,X4,TX,14.7
2020-01-12T02:10:00Z,X4,TN,6
2020-01-12T03:36:00Z,X4,HRX,75
2020-01-12T21:56:00Z,X4,HRN,43
2020-01-12T08:49:00Z,X4,PX,1027
2020-01-12T22:58:00Z,X4,PN,1023.4
2020-01-12T22:23:00Z,X4,VVX10,5.7
2020-01-12T22:23:00Z,X4,DVVX10,307
2020-01-12T12:54:00Z,X8,TX,15
2020-01-12T01:37:00Z,X8,TN,3.3
2020-01-12T05:55:00Z,X8,HRX,87
2020-01-12T13:25:00Z,X8,HRN,42
2020-01-12T09:00:00Z,X8,PX,1021.3
2020-01-12T22:57:00Z,X8,PN,1017.7
2020-01-12T22:20:00Z,X8,VVX10,6.1
2020-01-12T22:20:00Z,X8,DVVX10,300
2020-01-13T12:04:00Z,D5,TX,11.6
2020-01-13T06:16:00Z,D5,TN,4.4
2020-01-13T22:41:00Z,D5,HRX,88
2020-01-13T11:06:00Z,D5,HRN,41
2020-01-12T23:00:00Z,D5,PX,978.1
2020-01-13T22:59:00Z,D5,PN,972.1
2020-01-13T03:05:00Z,D5,VVX10,13.1
2020-01-13T03:05:00Z,D5,DVVX10,329
2020-01-13T13:09:00Z,X2,TX,12.9
2020-01-13T07:11:00Z,X2,TN,4.1
2020-01-13T22:59:00Z,X2,HRX,95
2020-01-13T10:10:00Z,X2,HRN,39
2020-01-13T13:10:00Z,X4,TX,13.3
2020-01-13T06:33:00Z,X4,TN,7.5
2020-01-13T22:55:00Z,X4,HRX,77
2020-01-13T10:12:00Z,X4,HRN,36
2020-01-12T23:01:00Z,X4,PX,1023.4
2020-01-13T22:45:00Z,X4,PN,1017.3
2020-01-13T00:37:00Z,X4,VVX10,7.4
2020-01-13T00:37:00Z,X4,DVVX10,317
2020-01-13T12:31:00Z,X8,TX,13.3
2020-01-13T06:07:00Z,X8,TN,6
2020-01-13T22:42:00Z,X8,HRX,84
2020-01-13T11:07:00Z,X8,HRN,36
2020-01-12T23:08:00Z,X8,PX,1017.8
2020-01-13T22:36:00Z,X8,PN,1011.6
2020-01-13T04:12:00Z,X8,VVX10,8.4
2020-01-13T04:12:00Z,X8,DVVX10,313
2020-01-14T13:36:00Z,D5,TX,14.4
2020-01-14T07:46:00Z,D5,TN,6.3
2020-01-14T22:33:00Z,D5,HRX,85
2020-01-14T12:25:00Z,D5,HRN,43
2020-01-14T22:00:00Z,D5,PX,973.7
2020-01-14T02:34:00Z,D5,PN,971.2
2020-01-14T07:16:00Z,D5,VVX10,12.8
2020-01-14T07:16:00Z,D5,DVVX10,300
2020-01-14T11:19:00Z,X2,TX,15.1
2020-01-14T05:42:00Z,X2,TN,3.4
2020-01-14T02:31:00Z,X2,HRX,97
2020-01-14T10:18:00Z,X2,HRN,35
2020-01-14T11:14:00Z,X4,TX,15.5
2020-01-14T04:43:00Z,X4,TN,8
2020-01-14T00:53:00Z,X4,HRX,82
2020-01-14T10:07:00Z,X4,HRN,32
2020-01-14T21:39:00Z,X4,PX,1018.9
2020-01-14T13:03:00Z,X4,PN,1016.2
2020-01-14T08:23:00Z,X4,VVX10,6.9
2020-01-14T08:23:00Z,X4,DVVX10,307
2020-01-14T12:00:00Z,X8,TX,15.3
2020-01-14T04:21:00Z,X8,TN,5.1
2020-01-14T22:46:00Z,X8,HRX,89
2020-01-14T10:40:00Z,X8,HRN,36
2020-01-14T21:47:00Z,X8,PX,1013.2
2020-01-14T02:30:00Z,X8,PN,1010.7
2020-01-14T08:38:00Z,X8,VVX10,8.1
2020-01-14T08:38:00Z,X8,DVVX10,288
2020-01-15T13:12:00Z,D5,TX,14.4
2020-01-15T04:07:00Z,D5,TN,7.3
2020-01-15T00:41:00Z,D5,HRX,87
2020-01-15T09:59:00Z,D5,HRN,46
2020-01-15T22:33:00Z,D5,PX,978.2
2020-01-15T03:11:00Z,D5,PN,972.9
2020-01-15T03:59:00Z,D5,VVX10,7.9
2020-01-15T03:59:00Z,D5,DVVX10,259
2020-01-15T13:00:00Z,X2,TX,14.5
2020-01-15T05:30:00Z,X2,TN,4
2020-01-15T05:34:00Z,X2,HRX,97
2020-01-15T13:34:00Z,X2,HRN,43
2020-01-15T12:57:00Z,X4,TX,15.2
2020-01-15T06:22:00Z,X4,TN,8.2
2020-01-15T02:33:00Z,X4,HRX,81
2020-01-15T12:56:00Z,X4,HRN,36
2020-01-15T22:30:00Z,X4,PX,1023.1
2020-01-15T03:33:00Z,X4,PN,1018.1
2020-01-15T13:45:00Z,X4,VVX10,6.5
2020-01-15T13:45:00Z,X4,DVVX10,244
2020-01-15T12:32:00Z,X8,TX,15.1
2020-01-15T06:26:00Z,X8,TN,5.5
2020-01-15T06:30:00Z,X8,HRX,91
2020-01-15T13:25:00Z,X8,HRN,40
2020-01-15T22:30:00Z,X8,PX,1017.5
2020-01-15T03:12:00Z,X8,PN,1012.4
2020-01-15T13:56:00Z,X8,VVX10,7.5
2020-01-15T13:56:00Z,X8,DVVX10,214
2020-01-16T12:40:00Z,D5,TX,14.8
2020-01-16T04:30:00Z,D5,TN,7.5
2020-01-16T20:30:00Z,D5,HRX,97
2020-01-16T10:55:00Z,D5,HRN,56
2020-01-16T09:03:00Z,D5,PX,979.4
2020-01-16T14:00:00Z,D5,PN,976.9
2020-01-16T21:38:00Z,D5,VVX10,7.5
2020-01-16T21:38:00Z,D5,DVVX10,234
2020-01-16T11:17:00Z,X2,TX,14.9
2020-01-16T06:37:00Z,X2,TN,5.1
2020-01-16T21:39:00Z,X2,HRX,98
2020-01-16T11:03:00Z,X2,HRN,51
2020-01-16T13:40:00Z,X4,TX,15.5
2020-01-16T06:22:00Z,X4,TN,8.5
2020-01-16T20:37:00Z,X4,HRX,86
2020-01-16T10:51:00Z,X4,HRN,46
2020-01-16T09:00:00Z,X4,PX,1024.6
2020-01-16T14:11:00Z,X4,PN,1021.6
2020-01-16T13:46:00Z,X4,VVX10,6.6
2020-01-16T13:46:00Z,X4,DVVX10,224
2020-01-16T12:41:00Z,X8,TX,15.9
2020-01-16T04:46:00Z,X8,TN,5.9
2020-01-16T17:51:00Z,X8,HRX,94
2020-01-16T10:07:00Z,X8,HRN,50
2020-01-16T09:02:00Z,X8,PX,1019
2020-01-16T14:00:00Z,X8,PN,1016.2
